赤色,0,98,78,10
紅色,0,100,75,15
赭色,0,77,77,28
朱色,10,100,65,0
朱砂,0,85,100,0
丹色,0,60,78,10
銀朱色,0,90,70,8
絳色,0,100,100,0
茜色,0,77,75,28
胭脂紅,0,84,70,23
蘇枋色,0,60,60,37
石榴紅,0,90,65,10
牡丹紅,0,95,70,27
朱槿色,0,90,85,0
暮色,0,65,72,10
玫瑰紅,0,100,100,35
曙色,0,81,100,20
紅梅色,0,49,26,5
桃色,0,70,0,0
黃色,0,8,65,3
土黃色,0,25,67,23
梔子色,0,16,71,0
檗黃色,3,0,65,0
柘黃,0,48,85,0
明黃,0,3,80,0
雌黃,0,35,72,0
鉛黃,0,50,70,5
琉璃黃,0,18,99,9
藤黃,0,22,90,2
鵝黃,0,25,100,2
緗色,5,0,65,0
萱草色,0,52,95,0
琥珀色,0,35,70,24
金黃色,0,15,92,10
藍色,90,90,0,2
靛藍,80,60,0,50
吳須色,90,75,0,0
青花藍,80,55,0,30
湛藍,100,5,0,5
群青色,97,69,0,26
石青色,75,60,0,0
景泰藍,100,70,0,0
紺色,45,38,0,55
孔雀藍,92,92,0,17
琉璃藍,72,45,0,60
陰丹士藍,80,55,0,50
霽色,60,0,5,0
天青,65,0,6,0
縹色,25,0,5,0
秘色,14,0,15,10
綠色,75,0,100,0
草綠色,65,15,90,0
蒼色,70,25,62,2
銅綠,50,0,35,15
祖母綠,69,0,53,53
石綠,55,0,60,37
翡翠色,98,0,38,49
青翠色,67,0,35,37
碧色,90,0,55,0
鸚鵡綠,80,0,73,56
柳色,45,0,90,28
蔥綠,40,0,62,8
竹青色,60,26,84,0
豆綠,45,0,85,5
艾綠,36,30,85,10
紫色,60,70,0,0
葡萄色,75,90,45,10
茄子色,70,90,35,10
紫砂色,42,78,82,50
紫藤色,8,17,0,22
青蓮色,21,67,0,10
耦合色,0,22,25,0
褐色,0,68,100,53
醬色,70,75,72,50
茶色,45,90,99,15
玳瑁色,0,65,50,60
棕色,0,55,60,50
香色,20,30,95,0
黃櫨色,0,48,100,34
白色,0,0,0,0
練色,0,2,13,0
粉色,0,0,6,0
瓷白色,0,0,3,0
鉛白,0,2,8,0
月白色,10,0,7,0
玉白色,0,06,2
雲母白,0,0,5,2
灰色,0,0,0,50
灰白色,0,0,0,10
青灰色,8,0,0,70
銀灰色,12,0,0,35
銀鼠灰,1,1,0,40
銀色,10,10,2,0
黑色,35,35,0,100
玄色,60,90,85,70
墨色,0,0,0,96
漆黑,50,50,0,100
皂色,0,30,60,80
烏黑,40,22,0,88
黛色,40,0,20,75